date,price
2014/9/17,1236.00 
2014/9/18,1220.50 
2014/9/19,1219.80 
2014/9/22,1213.50 
2014/9/23,1222.00 
2014/9/24,1217.30 
2014/9/25,1213.80 
2014/9/26,1213.80 
2014/9/29,1219.50 
2014/9/30,1216.50 
2014/10/1,1216.50 
2014/10/2,1211.80 
2014/10/3,1195.00 
2014/10/6,1195.80 
2014/10/7,1210.50 
2014/10/8,1217.00 
2014/10/9,1226.80 
2014/10/10,1219.00 
2014/10/13,1229.00 
2014/10/14,1234.80 
2014/10/15,1237.50 
2014/10/16,1237.80 
2014/10/17,1234.30 
2014/10/20,1244.50 
2014/10/21,1250.30 
2014/10/22,1243.80 
2014/10/23,1232.80 
2014/10/24,1232.80 
2014/10/27,1228.80 
2014/10/28,1229.30 
2014/10/29,1223.50 
2014/10/30,1202.00 
2014/10/31,1164.30 
2014/11/3,1167.80 
2014/11/4,1166.50 
2014/11/5,1142.00 
2014/11/6,1145.00 
2014/11/7,1154.50 
2014/11/10,1162.00 
2014/11/11,1156.50 
2014/11/12,1164.50 
2014/11/13,1161.80 
2014/11/14,1169.00 
2014/11/17,1182.50 
2014/11/18,1192.80 
2014/11/19,1196.00 
2014/11/20,1190.00 
2014/11/21,1203.80 
2014/11/24,1197.50 
2014/11/25,1199.00 
2014/11/26,1197.50 
2014/11/27,1194.80 
2014/11/28,1182.80 
2014/12/1,1194.00 
2014/12/2,1195.00 
2014/12/3,1204.80 
2014/12/4,1209.00 
2014/12/5,1194.00 
2014/12/8,1193.00 
2014/12/9,1227.00 
2014/12/10,1229.00 
2014/12/11,1216.30 
2014/12/12,1217.00 
2014/12/15,1209.30 
2014/12/16,1202.50 
2014/12/17,1195.80 
2014/12/18,1199.00 
2014/12/19,1195.50 
2014/12/22,1195.30 
2014/12/23,1175.80 
2014/12/24,1175.80 
2014/12/25,1175.80 
2014/12/26,1175.80 
2014/12/29,1185.50 
2014/12/30,1206.00 
2014/12/31,1206.00 
2015/1/1,1206.00 
2015/1/2,1172.00 
2015/1/5,1200.00 
2015/1/6,1210.30 
2015/1/7,1210.50 
2015/1/8,1215.50 
2015/1/9,1217.80 
2015/1/12,1226.50 
2015/1/13,1231.50 
2015/1/14,1235.00 
2015/1/15,1259.00 
2015/1/16,1277.50 
2015/1/19,1273.80 
2015/1/20,1288.80 
2015/1/21,1293.50 
2015/1/22,1295.80 
2015/1/23,1294.80 
2015/1/26,1281.30 
2015/1/27,1288.50 
2015/1/28,1288.00 
2015/1/29,1268.80 
2015/1/30,1260.30 
2015/2/2,1272.50 
2015/2/3,1264.30 
2015/2/4,1268.50 
2015/2/5,1259.30 
2015/2/6,1241.00 
2015/2/9,1238.50 
2015/2/10,1234.50 
2015/2/11,1223.80 
2015/2/12,1222.50 
2015/2/13,1232.50 
2015/2/16,1229.30 
2015/2/17,1209.50 
2015/2/18,1206.00 
2015/2/19,1209.50 
2015/2/20,1208.30 
2015/2/23,1204.50 
2015/2/24,1192.50 
2015/2/25,1204.80 
2015/2/26,1208.30 
2015/2/27,1214.00 
2015/3/2,1212.50 
2015/3/3,1212.80 
2015/3/4,1199.50 
2015/3/5,1202.00 
2015/3/6,1175.80 
2015/3/9,1168.50 
2015/3/10,1162.00 
2015/3/11,1150.00 
2015/3/12,1152.30 
2015/3/13,1152.00 
2015/3/16,1150.80 
2015/3/17,1150.80 
2015/3/18,1147.30 
2015/3/19,1166.00 
2015/3/20,1183.10 
2015/3/23,1186.30 
2015/3/24,1191.50 
2015/3/25,1195.60 
2015/3/26,1203.20 
2015/3/27,1195.80 
2015/3/30,1185.50 
2015/3/31,1187.00 
2015/4/1,1197.00 
2015/4/2,1198.50 
2015/4/3,1198.50 
2015/4/6,1198.50 
2015/4/7,1211.00 
2015/4/8,1207.30 
2015/4/9,1194.80 
2015/4/10,1207.40 
2015/4/13,1198.90 
2015/4/14,1194.80 
2015/4/15,1192.90 
2015/4/16,1204.40 
2015/4/17,1203.40 
2015/4/20,1196.50 
2015/4/21,1195.30 
2015/4/22,1189.30 
2015/4/23,1185.80 
2015/4/24,1183.00 
2015/4/27,1200.00 
2015/4/28,1209.00 
2015/4/29,1209.00 
2015/4/30,1180.30 
2015/5/1,1176.00 
2015/5/4,1176.00 
2015/5/5,1197.00 
2015/5/6,1194.30 
2015/5/7,1187.00 
2015/5/8,1186.00 
2015/5/11,1189.30 
2015/5/12,1191.50 
2015/5/13,1210.50 
2015/5/14,1225.00 
2015/5/15,1220.50 
2015/5/18,1223.50 
2015/5/19,1214.30 
2015/5/20,1210.50 
2015/5/21,1205.00 
2015/5/22,1204.10 
2015/5/25,1204.10 
2015/5/26,1185.40 
2015/5/27,1185.90 
2015/5/28,1185.00 
2015/5/29,1191.40 
2015/6/1,1199.90 
2015/6/2,1192.80 
2015/6/3,1190.00 
2015/6/4,1176.00 
2015/6/5,1164.60 
2015/6/8,1172.80 
2015/6/9,1177.40 
2015/6/10,1188.50 
2015/6/11,1178.50 
2015/6/12,1182.80 
2015/6/15,1181.40 
2015/6/16,1177.80 
2015/6/17,1178.00 
2015/6/18,1201.90 
2015/6/19,1203.40 
2015/6/22,1185.50 
2015/6/23,1178.00 
2015/6/24,1173.80 
2015/6/25,1172.70 
2015/6/26,1170.50 
2015/6/29,1176.00 
2015/6/30,1171.00 
2015/7/1,1168.00 
2015/7/2,1165.30 
2015/7/3,1168.00 
2015/7/6,1166.00 
2015/7/7,1156.30 
2015/7/8,1158.50 
2015/7/9,1164.30 
2015/7/10,1159.30 
2015/7/13,1154.00 
2015/7/14,1157.40 
2015/7/15,1147.40 
2015/7/16,1144.40 
2015/7/17,1132.80 
2015/7/20,1104.60 
2015/7/21,1105.60 
2015/7/22,1088.60 
2015/7/23,1097.40 
2015/7/24,1080.80 
2015/7/27,1100.00 
2015/7/28,1096.20 
2015/7/29,1090.30 
2015/7/30,1087.50 
2015/7/31,1098.40 
2015/8/3,1091.90 
2015/8/4,1090.70 
2015/8/5,1085.10 
2015/8/6,1089.80 
2015/8/7,1093.50 
2015/8/10,1097.00 
2015/8/11,1108.30 
2015/8/12,1119.00 
2015/8/13,1116.80 
2015/8/14,1118.30 
2015/8/17,1118.80 
2015/8/18,1111.50 
2015/8/19,1126.20 
2015/8/20,1147.70 
2015/8/21,1156.50 
2015/8/24,1166.50 
2015/8/25,1137.50 
2015/8/26,1120.80 
2015/8/27,1119.00 
