ÔÂ·Ý,china: (È«Çò)
2014/9/1,37
2014/10/1,36
2014/11/1,37
2014/12/1,36
2015/1/1,35
2015/2/1,35
2015/3/1,36
2015/4/1,37
2015/5/1,36
2015/6/1,38
2015/7/1,38
2015/8/1,43
2015/9/1,39
2015/10/1,40
2015/11/1,36
2015/12/1,39
2016/1/1,37
2016/2/1,36
2016/3/1,36
2016/4/1,38
2016/5/1,36
2016/6/1,36
2016/7/1,36
2016/8/1,39
2016/9/1,40
2016/10/1,38
2016/11/1,38
2016/12/1,37
2017/1/1,37
2017/2/1,36
2017/3/1,37
2017/4/1,40
2017/5/1,38
2017/6/1,35
2017/7/1,42
2017/8/1,41
2017/9/1,40
2017/10/1,38
2017/11/1,41
2017/12/1,36
2018/1/1,37
2018/2/1,38
2018/3/1,41
2018/4/1,39
2018/5/1,38
2018/6/1,35
2018/7/1,36
2018/8/1,38
2018/9/1,41
2018/10/1,38
2018/11/1,39
2018/12/1,36
2019/1/1,38
2019/2/1,38
2019/3/1,39
2019/4/1,38
2019/5/1,40
2019/6/1,39
2019/7/1,36
2019/8/1,40
2019/9/1,42
2019/10/1,45
2019/11/1,41
2019/12/1,38
2020/1/1,54
2020/2/1,60
2020/3/1,100
2020/4/1,66
2020/5/1,54
2020/6/1,58
2020/7/1,50
2020/8/1,42
2020/9/1,43
2020/10/1,40
2020/11/1,35
2020/12/1,39
2021/1/1,39
2021/2/1,34
2021/3/1,35
2021/4/1,39
2021/5/1,44
2021/6/1,40
2021/7/1,42
2021/8/1,40
2021/9/1,39
2021/10/1,43
2021/11/1,39
2021/12/1,36
2022/1/1,37
2022/2/1,44
2022/3/1,45
2022/4/1,38
2022/5/1,37
2022/6/1,35
2022/7/1,34
2022/8/1,44
2022/9/1,37
2022/10/1,34
2022/11/1,34
2022/12/1,35
2023/1/1,33
2023/2/1,38
2023/3/1,37
2023/4/1,37
2023/5/1,33
2023/6/1,35
2023/7/1,35
2023/8/1,36
2023/9/1,37
2023/10/1,37
2023/11/1,36
2023/12/1,35
2024/1/1,35
2024/2/1,36
2024/3/1,36
2024/4/1,36
